tag,Total_Videos,Total_Views,Total_Likes,Total_Comments,Avg_Engagement_Rate
grow a garden,2,300780,2340,355,0.0097108144415834
game mobile,2,296940,4891,338,0.0170495051988499
disco bolero,2,295513,2056,48,0.00584357048074325
brainrot,2,294488,2659,169,0.0106664263149039
lien minh huyen thoai,2,292812,2358,333,0.0092021361860874
liên minh huyền thoại,2,292812,2358,333,0.0092021361860874
liên minh,2,292812,2358,333,0.0092021361860874
xuân định k.y,2,274724,4236,320,0.0165839169493746
xuân định,2,274724,4236,320,0.0165839169493746
rumba bolero,2,270453,1316,35,0.0049846294931811495
nhạc rumba,2,270453,1316,35,0.0049846294931811495
nhac rumba,2,270453,1316,35,0.0049846294931811495
nhac rumba tru tinh,2,270453,1316,35,0.0049846294931811495
dân ca miền tây,2,262520,1557,52,0.0050733119465954995
nhạc sống dân ca,2,262493,1768,57,0.0061701191020728996
nhạc dân ca,2,262493,1768,57,0.0061701191020728996
nhạc sống thôn quê,2,257242,436,53,0.0017001432930337
aoe,2,256954,1076,0,0.0041875199452042
csdn,2,256954,1076,0,0.0041875199452042
nhạc lính công tuấn,2,253923,3012,27,0.01354958197836595
nhạc nhẹ nhàng,2,253251,1481,65,0.005167350704456
chill tiktok,2,253251,1481,65,0.005167350704456
thái hoàng remix,2,245362,0,61,0.00026476625636035
thai hoang remix,2,245362,0,61,0.00026476625636035
nhạc bay phòng,2,245362,0,61,0.00026476625636035
vinahouse,3,240297,3309,90,0.023148386919089003
nhạc buồn chill,2,237135,1481,57,0.005149275983523801
slenderman minecraft,2,227690,3294,202,0.0153542096710439
slenderman mcpe,2,227690,3294,202,0.0153542096710439
al himass,2,226130,5572,10,0.0246849157564232
nhạc quê hương hay nhất,2,222802,1824,53,0.0076373674401222
sến nhảy remix,2,219335,587,42,0.0031188396010832
nhạc lofi chill buồn,2,206099,1481,50,0.005160984979130001
nhạc lofi buồn,2,206099,1481,50,0.005160984979130001
nhạc chill 2026,2,206099,1481,50,0.005160984979130001
nhac lofi chill,2,206099,1481,50,0.005160984979130001
nhạc chill tiktok triệu view,2,206099,1481,50,0.005160984979130001
junb play,2,203674,3512,262,0.0185296110451014
nonstop vinahouse,2,198598,2227,81,0.02164073189305835
dj thai hoang,2,187354,1082,35,0.0131711004851632
thai hoang,2,187354,1082,35,0.0131711004851632
dân ca remix,2,172886,276,18,0.0018396713828403499
nhạc trẻ ballad,2,168402,584,41,0.00379125681328415
ca nhac tru tinh,2,168128,589,25,0.00438706036508645
ca nhac,2,168128,589,25,0.00438706036508645
liên khúc bolero,2,168128,589,25,0.00438706036508645
lien khuc bolero,2,168128,589,25,0.00438706036508645
shorts,2,167631,2457,151,0.01571411300237375
stealabrainrot,2,164183,4087,57,0.02441086342792705
99night,2,164183,4087,57,0.02441086342792705
rivals,2,164183,4087,57,0.02441086342792705
robloxvn,2,164183,4087,57,0.02441086342792705
nhạc trữ tình quê hương,2,157292,401,33,0.0034066523160230003
nhạc trẻ 2026,2,135235,2811,73,0.025209186596430448
nonstop 2026 vinahouse,2,127431,2227,65,0.0216186047994954
cạn một ly cho đêm nay người bỏ ta rồi,2,124877,865,43,0.0068443379929564
kẻ say tình 2 quốc thiên,2,124877,865,43,0.0068443379929564
kẻ say tình 2 cover,2,124877,865,43,0.0068443379929564
nhac tre moi nhat,2,114094,768,24,0.0066449402102867
nhạc trẻ mới nhất,2,114094,768,24,0.0066449402102867
nhạc vàng bất hủ,2,108738,507,10,0.0048935884043828
acvocals,3,95406,552,18,0.0059744670146531
nst,2,94642,3309,64,0.03463332837904545
