video_id,title,title_length,has_number_in_title,has_emoji,channelId,channelTitle,categoryId,categoryName,publishedAt_vn,publish_date,publish_hour,day_of_week,days_since_published,duration,duration_sec,duration_bucket,viewCount,likeCount,commentCount,engagement_rate,like_rate,comment_rate,tags,tag_count,thumbnail_link
kLbfy7i_2eU,LK Nhạc Không Lời QUÁ HAY & ÊM TAI - Hòa Tấu Rumba Trữ Tình Bolero - Nhạc Test Loa Chuẩn Nhất,93,False,False,UC2CjF8lJcRxRZ1TCsceVP7g,Nhạc Test Loa Chuẩn Nhất,10,Music,2026-07-09 06:00:29+07:00,2026-07-09,6,Thursday,2,PT58M59S,3539,> 30 mins,42148,141,12,0.0036300654835342127,0.003345354465217804,0.0002847110183164088,test loa|nhạc test loa|nhạc test loa chuẩn nhất|hòa tấu|nhạc hòa tấu|nhac khong loi|nhạc không lời|nhac test loa|bolero không lời|nhạc sống không lời|nhac test loa chat luong cao|nhạc bolero không lời|nhạc hòa tấu không lời|hòa tấu guitar|guitar không lời|nhac tru tinh|hòa tấu organ|hoa tau rumba|nhạc organ|hòa tấu không lời|nhac khong loi hay nhat|hòa tấu rumba|organ không lời|organ anh quân|nhạc không lời hay nhất|nhactestloa84,26,https://i.ytimg.com/vi/kLbfy7i_2eU/hqdefault.jpg
CiWmtXXmdFs,[BloxFruit] 200 Ngày Chỉ Được Dùng Lucky Blox Thức Tỉnh Sức Mạnh Siu Bá Từ Lv1,78,True,False,UCVFBeCz4gx_hfmrtK1Bn8gA,DANMOMO YT,22,People & Blogs,2026-07-07 16:19:41+07:00,2026-07-07,16,Tuesday,4,PT19M35S,1175,10-30 mins,173060,4345,907,0.03034785623483185,0.025106899341268925,0.0052409568935629265,roblox|game roblox|cách chơi roblox|minigame roblox|cách nhận trang phục free|blox fruit|roblox fruit|roblox hot game|nhận quần áo roblox|cách chơi blox fruit|cách chơi rainbow friend|cách tải roblox|chơi roblox trên điện thoại|trái ác quỷ|nhận trái ác quỷ free|trái ác quỷ báo|ác quỷ phật tổ|blox fruit ác quỷ|cách nhận trái ác quỷ|leopard|dragon|mochi|trái báo|trái rồng blox fruit|admin blox fruit|chơi blox fuit|one piece game|one piece,28,https://i.ytimg.com/vi/CiWmtXXmdFs/hqdefault.jpg
DWfGr_uw2y4,"CỰ TUYỆT - ST: Vương Anh Tú | CA SĨ GIẤU MẶT COVER | ""Giờ Anh Giữ Em Lại, Chính Anh Là Người Sai""",97,False,False,UC2biSysZ3t8b-lw0dR6gQvQ,Beta Music,10,Music,2026-06-25 17:31:02+07:00,2026-06-25,17,Thursday,16,PT4M51S,291,3-5 mins,130151,381,34,0.003188604006115973,0.0029273689791088813,0.0002612350270070918,cự tuyệt|cu tuyet|cự tuyệt cover|cu tuyet cover|cự tuyệt lyrics|cự tuyệt ca sĩ giấu mặt|cu tuyet ca si giau mat|cự tuyệt ca sĩ giấu mặt cover|cu tuyet ca si giau mat cover|cự tuyệt tiktok|giờ anh giữ em lại chính anh là người sai|gio anh giu em lai chinh anh la nguoi sai|ca sĩ giấu mặt|ca si giau mat|ca sĩ giấu mặt cover|ca si giau mat cover|ca sĩ giấu mặt 2026|beta music,18,https://i.ytimg.com/vi/DWfGr_uw2y4/hqdefault.jpg
LJkBl8K4ayI,Sinh Tồn Trong Nhà Thờ Cultis Lava 99 Nights In The Forest,58,True,False,UCK4VQ3flvxp7G8LPX8mOhtA,Hana,20,Gaming,2026-07-09 16:00:29+07:00,2026-07-09,16,Thursday,2,PT19M40S,1180,10-30 mins,81300,1070,460,0.018819188191881917,0.013161131611316114,0.005658056580565805,,0,https://i.ytimg.com/vi/LJkBl8K4ayI/hqdefault.jpg
q_cdV4sp_mk,MÙA THU VÀ LỜI XIN LỖI - THÀNH ĐẠT x LAI HOÀNG | LIVE AT PHÒNG TRÀ BẾN THÀNH | CHUYỆN TÌNH ÂM NHẠC |,100,False,False,UCE8YBGnZOi76GDKkuOiNfJw,THÀNH ĐẠT MUSIC ,10,Music,2026-07-03 19:00:06+07:00,2026-07-03,19,Friday,8,PT6M12S,372,5-10 mins,68185,327,26,0.005177091735719,0.0047957761971108015,0.00038131553860819826,Mùa thu và lời xin lỗi|Mua thu va loi xin loi|thanh dat|thành đạt|thanh dat cover|thành đạt cover|thanh dat music|thành đạt music|lai hoàng|lai hoang|mùa thu và lời xin lỗi live|mua thu va loi xin loi live|mùa thu và lời xin lỗi - thành đạt live|mua thu va loi xin loi - thanh dat live|mua thu va loi xin loi - thanh dat|Mùa thu và lời xin lỗi - thành đạt,16,https://i.ytimg.com/vi/q_cdV4sp_mk/hqdefault.jpg
FdvuY4HSSH4,SAMMY NGƯỜI VẼ ĐỈNH NHẤT TRONG MECCHA CHAMELEON,47,False,False,UCqNW5fsJjgHvGSyidejM3zg,Sammy Đào,20,Gaming,2026-07-05 18:09:32+07:00,2026-07-05,18,Sunday,6,PT42M4S,2524,> 30 mins,185243,2507,225,0.014748195613329518,0.013533574817941839,0.00121462079538768,sammy đào|sammy|sammy tv|kairon tv|phong cận tv|siro official|SAMMY NGƯỜI VẼ ĐỈNH NHẤT TRONG MECCHA CHAMELEON,7,https://i.ytimg.com/vi/FdvuY4HSSH4/hqdefault.jpg
bM5U5y-Yskw,Hạt Mưa Vương Vấn Remix (Bản Chuẩn TikTok) - Hạt Mưa Vương Vấn Em Giờ Này Đang Nơi Đâu Remix,92,False,False,UC6z0Om94_hM-H_UED2LA0YQ,ACV Entertainment,10,Music,2026-07-04 09:00:13+07:00,2026-07-04,9,Saturday,7,PT4M38S,278,3-5 mins,127362,317,11,0.0025753364425809898,0.0024889684521285783,8.636799045241124e-05,acv|acv music|acv remix|hat mua vuong van|hat mua vuong van em gio nay dang noi dau|hat mua vuong van em gio nay dang noi dau remix|hat mua vuong van remix|hạt mưa vương vấn ai cover|hạt mưa vương vấn em giờ này đang nơi đâu|hạt mưa vương vấn|hạt mưa vương vấn remix|nhạc remix|hat mua van vuong|nhạc hạt mưa vương vấn|nhạc remix hạt mưa vương vấn|có những nỗi nhớ khuất sâu trong đêm|hạt mưa vương vấn remix tiktok|bài hát hạt mưa vương vấn|mưa vương vấn,19,https://i.ytimg.com/vi/bM5U5y-Yskw/hqdefault.jpg
YoOf3s25nRI,Trần Bình Cùng Tainzo Chơi Kèo Hạng 5 Gâu Gâu Khiến Lai Bâng Giả Lag Bỏ Trốn,76,True,False,UCnInBsyuEodsiuixYsnp9sA,Tran Binh Gaming,20,Gaming,2026-07-09 16:45:43+07:00,2026-07-09,16,Thursday,2,PT16M43S,1003,10-30 mins,127217,1553,79,0.01282847418190965,0.012207487992956916,0.0006209861889527343,,0,https://i.ytimg.com/vi/YoOf3s25nRI/hqdefault.jpg
KBSXYdONW7U,"CON ĐƯỜNG XƯA EM ĐI ➤ LK Bolero Trữ Tình Hay Nhất Hiện Nay, Nhạc Vàng Xưa CỰC ÊM TAI Nghe Cực Nghiện",100,False,False,UCd9ruOGH4DJC-39swwZ4Tvg,Bolero Tâm Trạng,22,People & Blogs,2026-07-02 05:31:49+07:00,2026-07-02,5,Thursday,9,PT1H59M30S,7170,> 30 mins,133348,1021,18,0.007791642919278879,0.007656657767645559,0.00013498515163332033,nhạc bolero tâm trạng|nhac bolero tam trang|nhạc bolero trữ tình|nhac bolero tru tinh|nhạc bolero|nhac bolero|hay nhất hiện nay|hay nhat hien nay|nhạc vàng|nhac vang|nhạc vàng hải ngoại|nhac vang hai ngoai|nhạc vàng chọn lọc|nhac vang chon loc|nhạc vàng thư giãn|nhac vang thu gian|cực êm tai|cuc em tai|nghe là nghiện|nghe la nghien|diễn quân|dien quan|nhạc diễn quân|nhac dien quan|con đường xưa em đi|con duong xua em di,26,https://i.ytimg.com/vi/KBSXYdONW7U/hqdefault.jpg
F8fWrC5rSIs,100 ngày cứu vợ trong Sons of the Forest!,41,True,False,UCDzJOrDYIlAkW9iR4Z7qKCQ,Cá Khô,20,Gaming,2026-06-27 20:00:06+07:00,2026-06-27,20,Saturday,14,PT2H17M45S,8265,> 30 mins,739563,12779,614,0.01810934294982307,0.017279122941520873,0.0008302200083022001,Cá Khô|game vui|hài hước|100 ngày|thử thách 100 ngày|sinh tồn 100 ngày|game sinh tồn|chơi game vui|tấu hài gaming|Cá Khô Gaming|hài hước game|tổng hợp 100 ngày|khám phá game|gaming VN|stream game|funny gaming|100 days challenge|100 days survival|survival game|gaming fun|let's play|gaming community|game memes|hardcore survival|gaming adventure,25,https://i.ytimg.com/vi/F8fWrC5rSIs/hqdefault.jpg
